surgery_year,surgery_extent_bucket,histology_bucket,central_lnd_yes_no,n_specimens,n_examined_ok,n_positive_ok,n_both_ok,n_both_unresolved,pct_examined,pct_positive,pct_both
2003,total_or_near_total,FTC_family,0,1,1.0,0.0,0.0,0.0,100.0,0.0,0.0
2003,total_or_near_total,PTC_family,0,11,11.0,5.0,5.0,0.0,100.0,45.45,45.45
2003,total_or_near_total,PTC_family,1,10,10.0,10.0,10.0,0.0,100.0,100.0,100.0
2003,total_or_near_total,other_histology,0,3,3.0,2.0,2.0,0.0,100.0,66.67,66.67
2003,total_or_near_total,other_histology,1,1,1.0,1.0,1.0,0.0,100.0,100.0,100.0
2003,total_or_near_total,unknown_histology,0,18,18.0,1.0,1.0,0.0,100.0,5.56,5.56
2003,total_or_near_total,unknown_histology,1,7,7.0,7.0,7.0,0.0,100.0,100.0,100.0
2004,lobectomy_hemi,FTC_family,0,4,3.0,1.0,1.0,1.0,75.0,25.0,25.0
2004,lobectomy_hemi,FTC_family,1,2,2.0,2.0,2.0,0.0,100.0,100.0,100.0
2004,lobectomy_hemi,PTC_family,0,9,9.0,0.0,0.0,0.0,100.0,0.0,0.0
2004,lobectomy_hemi,PTC_family,1,5,5.0,5.0,5.0,0.0,100.0,100.0,100.0
2004,lobectomy_hemi,unknown_histology,0,70,66.0,2.0,2.0,4.0,94.29,2.86,2.86
2004,lobectomy_hemi,unknown_histology,1,17,17.0,17.0,17.0,0.0,100.0,100.0,100.0
2004,other_or_mixed,FTC_family,0,3,3.0,0.0,0.0,0.0,100.0,0.0,0.0
2004,other_or_mixed,FTC_family,1,4,4.0,4.0,4.0,0.0,100.0,100.0,100.0
2004,other_or_mixed,other_histology,0,9,9.0,9.0,9.0,0.0,100.0,100.0,100.0
2004,other_or_mixed,other_histology,1,7,7.0,7.0,7.0,0.0,100.0,100.0,100.0
2004,other_or_mixed,unknown_histology,0,5,2.0,0.0,0.0,3.0,40.0,0.0,0.0
2004,other_or_mixed,unknown_histology,1,1,1.0,1.0,1.0,0.0,100.0,100.0,100.0
2004,total_or_near_total,FTC_family,0,2,2.0,0.0,0.0,0.0,100.0,0.0,0.0
2004,total_or_near_total,FTC_family,1,1,1.0,1.0,1.0,0.0,100.0,100.0,100.0
2004,total_or_near_total,PTC_family,0,14,14.0,2.0,2.0,0.0,100.0,14.29,14.29
2004,total_or_near_total,PTC_family,1,10,10.0,10.0,10.0,0.0,100.0,100.0,100.0
2004,total_or_near_total,other_histology,1,1,1.0,1.0,1.0,0.0,100.0,100.0,100.0
2004,total_or_near_total,unknown_histology,0,29,28.0,2.0,1.0,0.0,96.55,6.9,3.45
2004,total_or_near_total,unknown_histology,1,11,11.0,11.0,11.0,0.0,100.0,100.0,100.0
2005,lobectomy_hemi,FTC_family,0,5,5.0,0.0,0.0,0.0,100.0,0.0,0.0
2005,lobectomy_hemi,PTC_family,0,4,4.0,1.0,1.0,0.0,100.0,25.0,25.0
2005,lobectomy_hemi,other_histology,1,1,1.0,1.0,1.0,0.0,100.0,100.0,100.0
2005,lobectomy_hemi,unknown_histology,0,66,66.0,1.0,1.0,0.0,100.0,1.52,1.52
2005,lobectomy_hemi,unknown_histology,1,14,14.0,13.0,13.0,0.0,100.0,92.86,92.86
2005,other_or_mixed,FTC_family,0,3,3.0,3.0,3.0,0.0,100.0,100.0,100.0
2005,other_or_mixed,other_histology,0,11,11.0,10.0,10.0,0.0,100.0,90.91,90.91
2005,other_or_mixed,other_histology,1,3,3.0,3.0,3.0,0.0,100.0,100.0,100.0
2005,other_or_mixed,unknown_histology,0,7,5.0,2.0,2.0,2.0,71.43,28.57,28.57
2005,total_or_near_total,FTC_family,0,2,2.0,0.0,0.0,0.0,100.0,0.0,0.0
2005,total_or_near_total,PTC_family,0,16,16.0,2.0,2.0,0.0,100.0,12.5,12.5
2005,total_or_near_total,PTC_family,1,9,9.0,9.0,9.0,0.0,100.0,100.0,100.0
2005,total_or_near_total,other_histology,0,2,0.0,0.0,0.0,2.0,0.0,0.0,0.0
2005,total_or_near_total,unknown_histology,0,41,40.0,1.0,1.0,1.0,97.56,2.44,2.44
2005,total_or_near_total,unknown_histology,1,7,7.0,7.0,7.0,0.0,100.0,100.0,100.0
2006,lobectomy_hemi,FTC_family,0,12,12.0,0.0,0.0,0.0,100.0,0.0,0.0
2006,lobectomy_hemi,FTC_family,1,2,2.0,2.0,2.0,0.0,100.0,100.0,100.0
2006,lobectomy_hemi,PTC_family,0,16,16.0,3.0,3.0,0.0,100.0,18.75,18.75
2006,lobectomy_hemi,PTC_family,1,2,2.0,2.0,2.0,0.0,100.0,100.0,100.0
2006,lobectomy_hemi,other_histology,0,5,2.0,0.0,0.0,3.0,40.0,0.0,0.0
2006,lobectomy_hemi,other_histology,1,1,1.0,1.0,1.0,0.0,100.0,100.0,100.0
2006,lobectomy_hemi,unknown_histology,0,79,76.0,8.0,8.0,3.0,96.2,10.13,10.13
2006,lobectomy_hemi,unknown_histology,1,25,25.0,24.0,24.0,0.0,100.0,96.0,96.0
2006,other_or_mixed,FTC_family,1,3,3.0,3.0,3.0,0.0,100.0,100.0,100.0
2006,other_or_mixed,PTC_family,0,2,0.0,0.0,0.0,2.0,0.0,0.0,0.0
2006,other_or_mixed,other_histology,0,9,9.0,8.0,8.0,0.0,100.0,88.89,88.89
2006,other_or_mixed,other_histology,1,1,1.0,1.0,1.0,0.0,100.0,100.0,100.0
2006,other_or_mixed,unknown_histology,0,2,2.0,0.0,0.0,0.0,100.0,0.0,0.0
2006,other_or_mixed,unknown_histology,1,1,1.0,1.0,1.0,0.0,100.0,100.0,100.0
2006,total_or_near_total,PTC_family,0,11,11.0,4.0,4.0,0.0,100.0,36.36,36.36
2006,total_or_near_total,PTC_family,1,27,27.0,27.0,27.0,0.0,100.0,100.0,100.0
2006,total_or_near_total,other_histology,0,2,2.0,0.0,0.0,0.0,100.0,0.0,0.0
2006,total_or_near_total,other_histology,1,2,2.0,2.0,2.0,0.0,100.0,100.0,100.0
2006,total_or_near_total,unknown_histology,0,28,27.0,0.0,0.0,1.0,96.43,0.0,0.0
2006,total_or_near_total,unknown_histology,1,7,7.0,7.0,7.0,0.0,100.0,100.0,100.0
2007,lobectomy_hemi,FTC_family,0,6,6.0,0.0,0.0,0.0,100.0,0.0,0.0
2007,lobectomy_hemi,FTC_family,1,1,1.0,1.0,1.0,0.0,100.0,100.0,100.0
2007,lobectomy_hemi,PTC_family,0,17,17.0,3.0,3.0,0.0,100.0,17.65,17.65
2007,lobectomy_hemi,PTC_family,1,6,6.0,5.0,5.0,0.0,100.0,83.33,83.33
2007,lobectomy_hemi,unknown_histology,0,85,84.0,6.0,6.0,1.0,98.82,7.06,7.06
2007,lobectomy_hemi,unknown_histology,1,23,23.0,23.0,23.0,0.0,100.0,100.0,100.0
2007,other_or_mixed,FTC_family,0,2,2.0,1.0,1.0,0.0,100.0,50.0,50.0
2007,other_or_mixed,PTC_family,1,3,3.0,3.0,3.0,0.0,100.0,100.0,100.0
