# generated_by,scripts/270c_phase_b_planning.py,generated_at,2026-04-17T06:46:38.421027+00:00
schema,name,object_type,row_count,disposition,identical_in_archive_pub_v1_0,identical_in_archive_legacy,proposed_target_name,justification
main,extracted_postop_labs_expanded_v1,BASE TABLE,1395,MIGRATE_TO_ARCHIVE_LEGACY,False,False,main__extracted_postop_labs_expanded_v1_20260417T064706Z,unique to stray schema 'main'; preserve under archive_legacy for audit trail
main,extracted_ras_patient_summary_v1,BASE TABLE,321,MIGRATE_TO_ARCHIVE_LEGACY,False,False,main__extracted_ras_patient_summary_v1_20260417T064706Z,unique to stray schema 'main'; preserve under archive_legacy for audit trail
main,extracted_rln_injury_refined_v2,BASE TABLE,92,MIGRATE_TO_ARCHIVE_LEGACY,False,False,main__extracted_rln_injury_refined_v2_20260417T064706Z,unique to stray schema 'main'; preserve under archive_legacy for audit trail
main,extracted_tirads_validated_v1,BASE TABLE,3439,MIGRATE_TO_ARCHIVE_LEGACY,False,False,main__extracted_tirads_validated_v1_20260417T064706Z,unique to stray schema 'main'; preserve under archive_legacy for audit trail
main,fna_cytology,BASE TABLE,8063,MIGRATE_TO_ARCHIVE_LEGACY,False,False,main__fna_cytology_20260417T064706Z,unique to stray schema 'main'; preserve under archive_legacy for audit trail
main,fna_episode_master_v2,BASE TABLE,8119,MIGRATE_TO_ARCHIVE_LEGACY,False,False,main__fna_episode_master_v2_20260417T064706Z,unique to stray schema 'main'; preserve under archive_legacy for audit trail
main,fna_history,BASE TABLE,8119,MIGRATE_TO_ARCHIVE_LEGACY,False,False,main__fna_history_20260417T064706Z,unique to stray schema 'main'; preserve under archive_legacy for audit trail
main,fna_molecular_linkage_v3,BASE TABLE,809,MIGRATE_TO_ARCHIVE_LEGACY,False,False,main__fna_molecular_linkage_v3_20260417T064706Z,unique to stray schema 'main'; preserve under archive_legacy for audit trail
main,gold_master_episode_events_v1,VIEW,9368,MIGRATE_TO_ARCHIVE_LEGACY,False,False,main__gold_master_episode_events_v1_20260417T064706Z,unique to stray schema 'main'; preserve under archive_legacy for audit trail
main,gold_master_patient_facts_v1,VIEW,10871,MIGRATE_TO_ARCHIVE_LEGACY,False,False,main__gold_master_patient_facts_v1_20260417T064706Z,unique to stray schema 'main'; preserve under archive_legacy for audit trail
main,imaging_exam_master_v1,BASE TABLE,13347,MIGRATE_TO_ARCHIVE_LEGACY,False,False,main__imaging_exam_master_v1_20260417T064706Z,unique to stray schema 'main'; preserve under archive_legacy for audit trail
main,imaging_fna_linkage_mm_v1,BASE TABLE,7305,MIGRATE_TO_ARCHIVE_LEGACY,False,False,main__imaging_fna_linkage_mm_v1_20260417T064706Z,unique to stray schema 'main'; preserve under archive_legacy for audit trail
main,imaging_fna_linkage_v3,BASE TABLE,9911,MIGRATE_TO_ARCHIVE_LEGACY,False,False,main__imaging_fna_linkage_v3_20260417T064706Z,unique to stray schema 'main'; preserve under archive_legacy for audit trail
main,imaging_nodule_long_v2,BASE TABLE,19891,MIGRATE_TO_ARCHIVE_LEGACY,False,False,main__imaging_nodule_long_v2_20260417T064706Z,unique to stray schema 'main'; preserve under archive_legacy for audit trail
main,imaging_nodule_master_v1,BASE TABLE,37016,MIGRATE_TO_ARCHIVE_LEGACY,False,False,main__imaging_nodule_master_v1_20260417T064706Z,unique to stray schema 'main'; preserve under archive_legacy for audit trail
main,imaging_patient_summary_v1,BASE TABLE,6126,MIGRATE_TO_ARCHIVE_LEGACY,False,False,main__imaging_patient_summary_v1_20260417T064706Z,unique to stray schema 'main'; preserve under archive_legacy for audit trail
main,lab_cross_wave_dedup_map_v1,BASE TABLE,21761,MIGRATE_TO_ARCHIVE_LEGACY,False,False,main__lab_cross_wave_dedup_map_v1_20260417T064706Z,unique to stray schema 'main'; preserve under archive_legacy for audit trail
main,lesion_analysis_resolved_v1,BASE TABLE,11851,MIGRATE_TO_ARCHIVE_LEGACY,False,False,main__lesion_analysis_resolved_v1_20260417T064706Z,unique to stray schema 'main'; preserve under archive_legacy for audit trail
