# generated_by,scripts/270d_stray_schema_migrate.py,generated_at,2026-04-17T07:36:53.491861+00:00
schema,name,object_type,source_row_count,source_column_count,target_name,target_fq,view_ddl_preserved,view_materialized_target,elapsed_seconds,status,error
main,v_patient_surgery_timeline,VIEW,9371,9,main__v_patient_surgery_timeline_20260417T073708Z,"""Thyroid 2026 UPdated"".""archive_legacy"".""main__v_patient_surgery_timeline_20260417T073708Z""",True,"""Thyroid 2026 UPdated"".""archive_legacy"".""main__v_patient_surgery_timeline_20260417T073708Z_view_materialized""",1.19,OK,
main,vw_us_nodule_tirads_validated,BASE TABLE,5,9,main__vw_us_nodule_tirads_validated_20260417T073708Z,"""Thyroid 2026 UPdated"".""archive_legacy"".""main__vw_us_nodule_tirads_validated_20260417T073708Z""",False,,1.26,OK,
mm_contract_dev,_bootstrap_event_date_audit_v2,BASE TABLE,50014,8,mm_contract_dev___bootstrap_event_date_audit_v2_20260417T073708Z,"""Thyroid 2026 UPdated"".""archive_legacy"".""mm_contract_dev___bootstrap_event_date_audit_v2_20260417T073708Z""",False,,1.3,OK,
mm_contract_dev,_bootstrap_fna_molecular_linkage_v3,BASE TABLE,838,15,mm_contract_dev___bootstrap_fna_molecular_linkage_v3_20260417T073708Z,"""Thyroid 2026 UPdated"".""archive_legacy"".""mm_contract_dev___bootstrap_fna_molecular_linkage_v3_20260417T073708Z""",False,,1.03,OK,
mm_contract_dev,_bootstrap_linkage_master_v1,BASE TABLE,11506,5,mm_contract_dev___bootstrap_linkage_master_v1_20260417T073708Z,"""Thyroid 2026 UPdated"".""archive_legacy"".""mm_contract_dev___bootstrap_linkage_master_v1_20260417T073708Z""",False,,1.15,OK,
mm_contract_dev,_bootstrap_pathology_rai_linkage_v3,BASE TABLE,23,15,mm_contract_dev___bootstrap_pathology_rai_linkage_v3_20260417T073708Z,"""Thyroid 2026 UPdated"".""archive_legacy"".""mm_contract_dev___bootstrap_pathology_rai_linkage_v3_20260417T073708Z""",False,,1.02,OK,
mm_contract_dev,_bootstrap_patient_cross_domain_timeline_v2,BASE TABLE,59385,6,mm_contract_dev___bootstrap_patient_cross_domain_timeline_v2_20260417T073708Z,"""Thyroid 2026 UPdated"".""archive_legacy"".""mm_contract_dev___bootstrap_patient_cross_domain_timeline_v2_20260417T073708Z""",False,,1.3,OK,
mm_contract_dev,_bootstrap_preop_surgery_linkage_v3,BASE TABLE,3517,16,mm_contract_dev___bootstrap_preop_surgery_linkage_v3_20260417T073708Z,"""Thyroid 2026 UPdated"".""archive_legacy"".""mm_contract_dev___bootstrap_preop_surgery_linkage_v3_20260417T073708Z""",False,,1.22,OK,
mm_contract_dev,_bootstrap_surgery_pathology_linkage_v3,BASE TABLE,9409,16,mm_contract_dev___bootstrap_surgery_pathology_linkage_v3_20260417T073708Z,"""Thyroid 2026 UPdated"".""archive_legacy"".""mm_contract_dev___bootstrap_surgery_pathology_linkage_v3_20260417T073708Z""",False,,1.4,OK,
mm_contract_dev,dim_nodule_mm_v1,BASE TABLE,19891,14,mm_contract_dev__dim_nodule_mm_v1_20260417T073708Z,"""Thyroid 2026 UPdated"".""archive_legacy"".""mm_contract_dev__dim_nodule_mm_v1_20260417T073708Z""",False,,1.81,OK,
