# generated_by,scripts/270b_phase_a_step_2_registry.py --dry-run,generated_at,2026-04-17T06:22:36.422106+00:00
cpm_col,reason_no_feeder,stage_attempts_json
gm_path_vascular_inv_raw,no_feeder_candidate_in_4_stages,"[{""stage"": 1, ""method"": ""exact"", ""n_raw_candidates"": 1, ""n_candidates_after_exclude"": 0, ""candidates"": [], ""excluded_by_pattern"": [""canonical_patient_master""]}, {""stage"": 2, ""method"": ""suffix_strip"", ""attempts"": [{""stripped_to"": ""gm_path_vascular_inv"", ""n_hits"": 0}], ""n_raw_candidates"": 0, ""n_candidates_after_exclude"": 0, ""excluded_by_pattern"": []}, {""stage"": 3, ""method"": ""domain_prefix"", ""matched_prefix"": null, ""raw_candidates"": [], ""filtered_candidates"": [], ""n_candidates_after_exclude"": 0, ""excluded_by_pattern"": []}]"
gm_provenance_confidence,no_feeder_candidate_in_4_stages,"[{""stage"": 1, ""method"": ""exact"", ""n_raw_candidates"": 1, ""n_candidates_after_exclude"": 0, ""candidates"": [], ""excluded_by_pattern"": [""canonical_patient_master""]}, {""stage"": 2, ""method"": ""suffix_strip"", ""attempts"": [], ""n_raw_candidates"": 0, ""n_candidates_after_exclude"": 0, ""excluded_by_pattern"": []}, {""stage"": 3, ""method"": ""domain_prefix"", ""matched_prefix"": null, ""raw_candidates"": [], ""filtered_candidates"": [], ""n_candidates_after_exclude"": 0, ""excluded_by_pattern"": []}]"
gm_rai_date_confidence,no_feeder_candidate_in_4_stages,"[{""stage"": 1, ""method"": ""exact"", ""n_raw_candidates"": 1, ""n_candidates_after_exclude"": 0, ""candidates"": [], ""excluded_by_pattern"": [""canonical_patient_master""]}, {""stage"": 2, ""method"": ""suffix_strip"", ""attempts"": [], ""n_raw_candidates"": 0, ""n_candidates_after_exclude"": 0, ""excluded_by_pattern"": []}, {""stage"": 3, ""method"": ""domain_prefix"", ""matched_prefix"": null, ""raw_candidates"": [], ""filtered_candidates"": [], ""n_candidates_after_exclude"": 0, ""excluded_by_pattern"": []}]"
gm_rai_date_source,no_feeder_candidate_in_4_stages,"[{""stage"": 1, ""method"": ""exact"", ""n_raw_candidates"": 1, ""n_candidates_after_exclude"": 0, ""candidates"": [], ""excluded_by_pattern"": [""canonical_patient_master""]}, {""stage"": 2, ""method"": ""suffix_strip"", ""attempts"": [{""stripped_to"": ""gm_rai_date"", ""n_hits"": 0}], ""n_raw_candidates"": 0, ""n_candidates_after_exclude"": 0, ""excluded_by_pattern"": []}, {""stage"": 3, ""method"": ""domain_prefix"", ""matched_prefix"": null, ""raw_candidates"": [], ""filtered_candidates"": [], ""n_candidates_after_exclude"": 0, ""excluded_by_pattern"": []}]"
gm_recurrence_date_source,no_feeder_candidate_in_4_stages,"[{""stage"": 1, ""method"": ""exact"", ""n_raw_candidates"": 1, ""n_candidates_after_exclude"": 0, ""candidates"": [], ""excluded_by_pattern"": [""canonical_patient_master""]}, {""stage"": 2, ""method"": ""suffix_strip"", ""attempts"": [{""stripped_to"": ""gm_recurrence_date"", ""n_hits"": 0}], ""n_raw_candidates"": 0, ""n_candidates_after_exclude"": 0, ""excluded_by_pattern"": []}, {""stage"": 3, ""method"": ""domain_prefix"", ""matched_prefix"": null, ""raw_candidates"": [], ""filtered_candidates"": [], ""n_candidates_after_exclude"": 0, ""excluded_by_pattern"": []}]"
gm_recurrence_site_primary,no_feeder_candidate_in_4_stages,"[{""stage"": 1, ""method"": ""exact"", ""n_raw_candidates"": 1, ""n_candidates_after_exclude"": 0, ""candidates"": [], ""excluded_by_pattern"": [""canonical_patient_master""]}, {""stage"": 2, ""method"": ""suffix_strip"", ""attempts"": [], ""n_raw_candidates"": 0, ""n_candidates_after_exclude"": 0, ""excluded_by_pattern"": []}, {""stage"": 3, ""method"": ""domain_prefix"", ""matched_prefix"": null, ""raw_candidates"": [], ""filtered_candidates"": [], ""n_candidates_after_exclude"": 0, ""excluded_by_pattern"": []}]"
gm_recurrence_source,no_feeder_candidate_in_4_stages,"[{""stage"": 1, ""method"": ""exact"", ""n_raw_candidates"": 1, ""n_candidates_after_exclude"": 0, ""candidates"": [], ""excluded_by_pattern"": [""canonical_patient_master""]}, {""stage"": 2, ""method"": ""suffix_strip"", ""attempts"": [{""stripped_to"": ""gm_recurrence"", ""n_hits"": 0}], ""n_raw_candidates"": 0, ""n_candidates_after_exclude"": 0, ""excluded_by_pattern"": []}, {""stage"": 3, ""method"": ""domain_prefix"", ""matched_prefix"": null, ""raw_candidates"": [], ""filtered_candidates"": [], ""n_candidates_after_exclude"": 0, ""excluded_by_pattern"": []}]"
gm_recurrence_type_primary,no_feeder_candidate_in_4_stages,"[{""stage"": 1, ""method"": ""exact"", ""n_raw_candidates"": 1, ""n_candidates_after_exclude"": 0, ""candidates"": [], ""excluded_by_pattern"": [""canonical_patient_master""]}, {""stage"": 2, ""method"": ""suffix_strip"", ""attempts"": [], ""n_raw_candidates"": 0, ""n_candidates_after_exclude"": 0, ""excluded_by_pattern"": []}, {""stage"": 3, ""method"": ""domain_prefix"", ""matched_prefix"": null, ""raw_candidates"": [], ""filtered_candidates"": [], ""n_candidates_after_exclude"": 0, ""excluded_by_pattern"": []}]"
gm_tg_below_threshold_ever,no_feeder_candidate_in_4_stages,"[{""stage"": 1, ""method"": ""exact"", ""n_raw_candidates"": 1, ""n_candidates_after_exclude"": 0, ""candidates"": [], ""excluded_by_pattern"": [""canonical_patient_master""]}, {""stage"": 2, ""method"": ""suffix_strip"", ""attempts"": [], ""n_raw_candidates"": 0, ""n_candidates_after_exclude"": 0, ""excluded_by_pattern"": []}, {""stage"": 3, ""method"": ""domain_prefix"", ""matched_prefix"": null, ""raw_candidates"": [], ""filtered_candidates"": [], ""n_candidates_after_exclude"": 0, ""excluded_by_pattern"": []}]"
has_voice_data,no_feeder_candidate_in_4_stages,"[{""stage"": 1, ""method"": ""exact"", ""n_raw_candidates"": 1, ""n_candidates_after_exclude"": 0, ""candidates"": [], ""excluded_by_pattern"": [""canonical_patient_master""]}, {""stage"": 2, ""method"": ""suffix_strip"", ""attempts"": [], ""n_raw_candidates"": 0, ""n_candidates_after_exclude"": 0, ""excluded_by_pattern"": []}, {""stage"": 3, ""method"": ""domain_prefix"", ""matched_prefix"": null, ""raw_candidates"": [], ""filtered_candidates"": [], ""n_candidates_after_exclude"": 0, ""excluded_by_pattern"": []}]"
last_tg_days_from_surg,no_feeder_candidate_in_4_stages,"[{""stage"": 1, ""method"": ""exact"", ""n_raw_candidates"": 1, ""n_candidates_after_exclude"": 0, ""candidates"": [], ""excluded_by_pattern"": [""canonical_patient_master""]}, {""stage"": 2, ""method"": ""suffix_strip"", ""attempts"": [], ""n_raw_candidates"": 0, ""n_candidates_after_exclude"": 0, ""excluded_by_pattern"": []}, {""stage"": 3, ""method"": ""domain_prefix"", ""matched_prefix"": null, ""raw_candidates"": [], ""filtered_candidates"": [], ""n_candidates_after_exclude"": 0, ""excluded_by_pattern"": []}]"
lnus_abnormal_ln_any,no_feeder_candidate_in_4_stages,"[{""stage"": 1, ""method"": ""exact"", ""n_raw_candidates"": 1, ""n_candidates_after_exclude"": 0, ""candidates"": [], ""excluded_by_pattern"": [""canonical_patient_master""]}, {""stage"": 2, ""method"": ""suffix_strip"", ""attempts"": [], ""n_raw_candidates"": 0, ""n_candidates_after_exclude"": 0, ""excluded_by_pattern"": []}, {""stage"": 3, ""method"": ""domain_prefix"", ""matched_prefix"": null, ""raw_candidates"": [], ""filtered_candidates"": [], ""n_candidates_after_exclude"": 0, ""excluded_by_pattern"": []}]"
lnus_first_date,no_feeder_candidate_in_4_stages,"[{""stage"": 1, ""method"": ""exact"", ""n_raw_candidates"": 1, ""n_candidates_after_exclude"": 0, ""candidates"": [], ""excluded_by_pattern"": [""canonical_patient_master""]}, {""stage"": 2, ""method"": ""suffix_strip"", ""attempts"": [], ""n_raw_candidates"": 0, ""n_candidates_after_exclude"": 0, ""excluded_by_pattern"": []}, {""stage"": 3, ""method"": ""domain_prefix"", ""matched_prefix"": null, ""raw_candidates"": [], ""filtered_candidates"": [], ""n_candidates_after_exclude"": 0, ""excluded_by_pattern"": []}]"
lnus_first_days_from_surg,no_feeder_candidate_in_4_stages,"[{""stage"": 1, ""method"": ""exact"", ""n_raw_candidates"": 1, ""n_candidates_after_exclude"": 0, ""candidates"": [], ""excluded_by_pattern"": [""canonical_patient_master""]}, {""stage"": 2, ""method"": ""suffix_strip"", ""attempts"": [], ""n_raw_candidates"": 0, ""n_candidates_after_exclude"": 0, ""excluded_by_pattern"": []}, {""stage"": 3, ""method"": ""domain_prefix"", ""matched_prefix"": null, ""raw_candidates"": [], ""filtered_candidates"": [], ""n_candidates_after_exclude"": 0, ""excluded_by_pattern"": []}]"
