column_name,n_literal_nan,n_true_null,n_real_values,n_distinct_real,repair_action,repaired_at,repaired_by
us_isthmus_thickness_mm,0,6797,4074,46,NO_ACTION,,
us_left_lobe_volume_ml,0,6797,4074,87,NO_ACTION,,
us_right_lobe_volume_ml,0,6797,4074,93,NO_ACTION,,
us_total_volume_ml,0,6797,4074,125,NO_ACTION,,
vasc_grade,0,0,10871,5,NO_ACTION,,
vasc_grade_final_v13,0,7120,3751,4,NO_ACTION,,
vasc_source_final_v13,0,7120,3751,3,NO_ACTION,,
vascular_invasion_final,0,7120,3751,4,NO_ACTION,,
vascular_invasion_grade,0,7120,3751,4,NO_ACTION,,
vascular_who_2022_grade,0,10471,400,2,NO_ACTION,,
vital_status,0,0,10871,2,NO_ACTION,,
voice_followup_completeness,0,0,10871,2,NO_ACTION,,
voice_outcome_category,0,0,10871,4,NO_ACTION,,
worst_ete_v10,0,9680,1191,3,NO_ACTION,,
worst_tirads_category,0,7432,3439,5,NO_ACTION,,
wound_infection_status,0,0,10871,4,NO_ACTION,,
